avery,adam,phil,will
7,0,15,4
0,0,23,3
0,0,24,2
0,4,18,4
0,17,9,0
0,0,1,25
0,5,0,21
1,7,18,0
20,0,6,0
1,4,20,1
13,1,2,10
13,8,1,4
20,0,3,3
2,1,17,6
16,0,4,6
0,23,3,0
13,9,0,4
23,2,1,0
5,4,17,0
17,5,0,4
13,0,13,0
0,13,12,1
1,0,19,6
0,7,19,0
